Term Locale,Term Category,Term,Alias,Case Sensitive
en-US,Legal  - Real Estate,abandon,,FALSE
en-US,Legal  - Real Estate,abate,,FALSE
en-US,Legal  - Real Estate,absence,,FALSE
en-US,Legal  - Real Estate,absent,,FALSE
en-US,Legal  - Real Estate,accelerate,,FALSE
en-US,Legal  - Real Estate,accept,,FALSE
en-US,Legal  - Real Estate,access,,FALSE
en-US,Legal  - Real Estate,accident,,FALSE
en-US,Legal  - Real Estate,accommodate,,FALSE
en-US,Legal  - Real Estate,accommodation,,FALSE
en-US,Legal  - Real Estate,accord,,FALSE
en-US,Legal  - Real Estate,accordance with applicable,,FALSE
en-US,Legal  - Real Estate,according to the plat,,FALSE
en-US,Legal  - Real Estate,accrue,,FALSE
en-US,Legal  - Real Estate,accruing,,FALSE
en-US,Legal  - Real Estate,accumulated,,FALSE
en-US,Legal  - Real Estate,acquire,,FALSE
en-US,Legal  - Real Estate,acquisition,,FALSE
en-US,Legal  - Real Estate,acre,,FALSE
en-US,Legal  - Real Estate,acting on behalf of,,FALSE
en-US,Legal  - Real Estate,acting reasonably,,FALSE
en-US,Legal  - Real Estate,additional,,FALSE
en-US,Legal  - Real Estate,adjacent,,FALSE
en-US,Legal  - Real Estate,adjoining,,FALSE
en-US,Legal  - Real Estate,adjudicate,,FALSE
en-US,Legal  - Real Estate,advance,,FALSE
en-US,Legal  - Real Estate,advertise,,FALSE
en-US,Legal  - Real Estate,affect coverage,,FALSE
en-US,Legal  - Real Estate,affect lease,,FALSE
en-US,Legal  - Real Estate,affect structure,,FALSE
en-US,Legal  - Real Estate,affect value,,FALSE
en-US,Legal  - Real Estate,affix,,FALSE
en-US,Legal  - Real Estate,agency,,FALSE
en-US,Legal  - Real Estate,agent,,FALSE
en-US,Legal  - Real Estate,aggregate,,FALSE
en-US,Legal  - Real Estate,agreement,,FALSE
en-US,Legal  - Real Estate,agricultural,,FALSE
en-US,Legal  - Real Estate,aircraft,,FALSE
en-US,Legal  - Real Estate,airport,,FALSE
en-US,Legal  - Real Estate,alarm,,FALSE
en-US,Legal  - Real Estate,alley,,FALSE
en-US,Legal  - Real Estate,allocable,,FALSE
en-US,Legal  - Real Estate,allocate,,FALSE
en-US,Legal  - Real Estate,allowance,,FALSE
en-US,Legal  - Real Estate,along,,FALSE
en-US,Legal  - Real Estate,alter,,FALSE
en-US,Legal  - Real Estate,alterations,,FALSE
en-US,Legal  - Real Estate,amend lease,,FALSE
en-US,Legal  - Real Estate,American Arbitration Association,AAA,FALSE
en-US,Legal  - Real Estate,Americans with disabilities,,FALSE
en-US,Legal  - Real Estate,amortization,,FALSE
en-US,Legal  - Real Estate,amortize,,FALSE
en-US,Legal  - Real Estate,animal,,FALSE
en-US,Legal  - Real Estate,annex,,FALSE
en-US,Legal  - Real Estate,annoy,,FALSE
en-US,Legal  - Real Estate,annual adjustment,,FALSE
en-US,Legal  - Real Estate,annual increase,,FALSE
en-US,Legal  - Real Estate,annual rent,,FALSE
en-US,Legal  - Real Estate,annum,,FALSE
en-US,Legal  - Real Estate,antenna,,FALSE
en-US,Legal  - Real Estate,appearance,,FALSE
en-US,Legal  - Real Estate,appliance,,FALSE
en-US,Legal  - Real Estate,application,,FALSE
en-US,Legal  - Real Estate,appraisal,,FALSE
en-US,Legal  - Real Estate,appraise,,FALSE
en-US,Legal  - Real Estate,approval,,FALSE
en-US,Legal  - Real Estate,approve,,FALSE
en-US,Legal  - Real Estate,approving,,FALSE
en-US,Legal  - Real Estate,appurtenance,,FALSE
en-US,Legal  - Real Estate,appurtenant,,FALSE
en-US,Legal  - Real Estate,arbitrate,,FALSE
en-US,Legal  - Real Estate,arbitration,,FALSE
en-US,Legal  - Real Estate,arbitrator,,FALSE
en-US,Legal  - Real Estate,architect,,FALSE
en-US,Legal  - Real Estate,area,,FALSE
en-US,Legal  - Real Estate,arid,,FALSE
en-US,Legal  - Real Estate,arrears,,FALSE
en-US,Legal  - Real Estate,artificial,,FALSE
en-US,Legal  - Real Estate,asbestos,,FALSE
en-US,Legal  - Real Estate,ashes,,FALSE
en-US,Legal  - Real Estate,assess,,FALSE
en-US,Legal  - Real Estate,asset,,FALSE
en-US,Legal  - Real Estate,assign,,FALSE
en-US,Legal  - Real Estate,association,,FALSE
